tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
0,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
0,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.48546312876444736,1.0512417478780258,[]
0,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5879928315412186,0.16666666666666666,[]
0,3,3,10648,True,,leaf,,,False,-0.022727272727272728,,[]
0,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4936600411240576,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
0,5,4,1294,True,,leaf,,,False,-0.022727272727272728,,[]
0,6,4,10368,True,,leaf,,,False,-0.022727272727272728,,[]
0,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.21261154074955382,0.20833333333333331,[]
0,8,3,3247,True,,leaf,,,False,-0.022727272727272728,,[]
0,9,3,5148,True,,leaf,,,False,-0.022727272727272728,,[]
0,10,1,55389,False,lag_1,lag_1 <= 0.370813,11.0,16.0,False,0.2692286864383834,0.3708125570615914,[]
0,11,2,15490,False,lag_1,lag_1 <= 0,12.0,15.0,True,-0.04903225806451613,0.0,[]
0,12,3,9125,False,month_sin,month_sin <= 0.25,13.0,14.0,True,-0.16540777230432402,0.25000000000000006,[]
0,13,4,4620,True,,leaf,,,False,-0.0012987012987012991,,[]
0,14,4,4505,True,,leaf,,,False,-0.022727272727272728,,[]
0,15,3,6365,True,,leaf,,,False,0.005906132912640508,,[]
0,16,2,39899,False,month_sin,month_sin <= 0.25,17.0,24.0,True,0.3927685484477186,0.25000000000000006,[]
0,17,3,25000,False,log_scale,log_scale <= 3.70233,18.0,23.0,True,0.5313874450219912,3.702330251838059,[]
0,18,4,16692,False,lag_3,lag_3 <= 0.200477,19.0,20.0,False,0.4188719913782781,0.20047732696897377,[]
0,19,5,3299,True,,leaf,,,False,0.010606060606060605,,[]
0,20,5,13393,False,lag_2,lag_2 <= 0.196721,21.0,22.0,False,0.4905618145191375,0.19672131147540986,[]
0,21,6,2142,True,,leaf,,,False,0.013678844519966019,,[]
0,22,6,11251,True,,leaf,,,False,0.03616843279419966,,[]
0,23,4,8308,True,,leaf,,,False,0.0369602553732721,,[]
0,24,3,14899,False,cv_12,cv_12 <= 0.717634,25.0,28.0,False,0.15997048762492455,0.717633938400299,[]
0,25,4,7026,False,log_scale,log_scale <= 5.41647,26.0,27.0,True,0.39397384877771463,5.416470704004615,[]
0,26,5,5049,True,,leaf,,,False,0.008903699266137486,,[]
0,27,5,1977,True,,leaf,,,False,0.013849640095974405,,[]
0,28,4,7873,True,,leaf,,,False,-0.0027272727272727258,,[]
1,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
1,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.48390037440989747,1.0512417478780258,[]
1,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5868279569892473,0.16666666666666666,[]
1,3,3,10648,True,,leaf,,,False,-0.02159090909090909,,[]
1,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4926319396847156,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
1,5,4,1294,True,,leaf,,,False,-0.02159090909090909,,[]
1,6,4,10368,True,,leaf,,,False,-0.02159090909090909,,[]
1,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.2099940511600238,0.20833333333333331,[]
1,8,3,3247,True,,leaf,,,False,-0.02159090909090909,,[]
1,9,3,5148,True,,leaf,,,False,-0.02159090909090909,,[]
1,10,1,55389,False,lag_1,lag_1 <= 0.206009,11.0,14.0,False,0.2575317243993574,0.20600858369098712,[]
1,11,2,11841,False,month_sin,month_sin <= 0.25,12.0,13.0,False,-0.10691080921441229,0.25000000000000006,[]
1,12,3,5867,True,,leaf,,,False,0.0019278262720885703,,[]
1,13,3,5974,True,,leaf,,,False,-0.012853087847481027,,[]
1,14,2,43548,False,month_sin,month_sin <= 0.25,15.0,24.0,True,0.356627944350062,0.25000000000000006,[]
1,15,3,26756,False,log_scale,log_scale <= 3.70233,16.0,21.0,True,0.4942090712097437,3.702330251838059,[]
1,16,4,17967,False,mean_6,mean_6 <= 1.36,17.0,20.0,True,0.3872169994993603,1.3599999999999999,[]
1,17,5,9363,False,cv_12,cv_12 <= 1.07046,18.0,19.0,True,0.25509442014296385,1.0704630042173193,[]
1,18,6,6109,True,,leaf,,,False,0.01932306940371457,,[]
1,19,6,3254,True,,leaf,,,False,0.004767502912433683,,[]
1,20,5,8604,True,,leaf,,,False,0.04376925947376111,,[]
1,21,4,8789,False,lag_2,lag_2 <= 0.371134,22.0,23.0,False,0.7122400272758268,0.37113402061855666,[]
1,22,5,827,True,,leaf,,,False,0.015648178191214505,,[]
1,23,5,7962,True,,leaf,,,False,0.03559641094439983,,[]
1,24,3,16792,False,cv_12,cv_12 <= 0.730782,25.0,28.0,False,0.13724556600404714,0.7307817334681389,[]
1,25,4,8062,False,log_scale,log_scale <= 5.41647,26.0,27.0,True,0.3520812685827552,5.416470704004615,[]
1,26,5,5941,True,,leaf,,,False,0.008406489677841451,,[]
1,27,5,2121,True,,leaf,,,False,0.012713881336692746,,[]
1,28,4,8730,True,,leaf,,,False,-0.0032360703812316705,,[]
2,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
